gene	tvar	CAP_PKB	CAP_PKB_male	CAP_PKB_female	CAP_PKB_afr	CAP_PKB_afr_male	CAP_PKB_afr_female	CAP_PKB_amr	CAP_PKB_amr_male	CAP_PKB_amr_female	CAP_PKB_fin	CAP_PKB_fin_male	CAP_PKB_fin_female	CAP_PKB_asj	CAP_PKB_asj_male	CAP_PKB_asj_female	CAP_PKB_nfe	CAP_PKB_nfe_male	CAP_PKB_nfe_female	CAP_PKB_eas	CAP_PKB_eas_male	CAP_PKB_eas_female	CAP_PKB_sas	CAP_PKB_sas_male	CAP_PKB_sas_female	nvar	nvar_male	nvar_female	nvar_afr	nvar_afr_male	nvar_afr_female	nvar_amr	nvar_amr_male	nvar_amr_female	nvar_fin	nvar_fin_male	nvar_fin_female	nvar_asj	nvar_asj_male	nvar_asj_female	nvar_nfe	nvar_nfe_male	nvar_nfe_female	nvar_eas	nvar_eas_male	nvar_eas_female	nvar_sas	nvar_sas_male	nvar_sas_female
ABCC1	2435	0.07460332979484	0.0761643418023101	0.0727504081560001	0.0219511956677501	0.02093843279484	0.02262219117436	0.0341776720412399	0.0367551123398401	0.03235555780336	0.11721366459759	0.11777224280796	0.11660453216256	0.0635189693197501	0.06717221793399	0.0596396306047601	0.10933461624951	0.10959903556764	0.10899842053056	0.000111243906026237	0.000226077220827903	0	0.03164323577856	0.03200061019584	0.03054866170816	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
ABCC4	1814	0.257650066171014	0.258593079363843	0.256539144889623	0.326067871757556	0.323508619268594	0.327638601839186	0.311423017773139	0.304060616864865	0.316583689915263	0.149666032884358	0.15522145037201	0.143593715738144	0.254917484068825	0.262342457231794	0.247027379371304	0.168289605495421	0.173267756878644	0.161943626019778	0.470149954818842	0.464653485454396	0.475447760157908	0.397204944788985	0.386403527469019	0.429284901486597	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
ABCG2	1069	0.998527989584476	0.997947113396726	0.99900723670425	0.841052178659637	0.846418516093365	0.837669440273696	0.999997672766712	0.999997441672872	0.999997823587375	0.98871559007534	0.987737930499207	0.989692171643234	0.981024544793653	0.982660677639038	0.979130869739677	0.990495407914003	0.989414959753252	0.991712139207213	0.999999991513233	0.999999991385092	0.999999991635783	0.996025001772924	0.995152010876371	0.997845062130136	4	28	28	27	27	27	28	27	28	27	27	27	27	27	27	27	27	27	26	26	26	25	25	25
ADA	823	0.3565072476	0.355812372231	0.3573252111	0.665862821884	0.669309446751	0.663733386775	0.351210024375	0.350773383484	0.351517679344	0.280877343879	0.288629208816	0.272404647936	0.3380875836	0.334653086656	0.341707932096	0.317324157436	0.320288793084	0.313552952559	0.265079574375	0.263358874716	0.26675031	0.428398982151	0.430260354279	0.422682685404	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADRB2	368	0.998576014750236	0.99846149304508	0.998700646028937	0.999768300264081	0.999742373156477	0.999783090622916	0.999494157048007	0.999464594055844	0.999514146123248	0.998138849320317	0.998158854774552	0.998116879933228	0.998502558627325	0.998579128049652	0.99841861006112	0.995685285712084	0.995688880257775	0.995681156778478	0.99995081463209	0.999947380758515	0.999953982011716	0.999401978741653	0.999353111149577	0.999531186011228	3	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	7	9	9	9
AGTR1	319	0.980360820585169	0.97927976369135	0.981580874182903	0.640250027173544	0.641090236603294	0.639819635226173	0.99403951581161	0.994063814263316	0.994026546677158	0.978767200724916	0.97881651052213	0.978717012407869	0.99111824066486	0.991150903490873	0.991083410127311	0.991189452603205	0.991010279567355	0.991413184581841	0.950525503306726	0.949066307538914	0.951905704934289	0.898122233834355	0.900193986399581	0.891569866808766	3	7	7	6	6	6	6	6	6	6	6	6	6	6	6	7	6	7	7	7	7	7	7	7
AHR	893	0.00328262166812443	0.0030444393133755	0.00356268116061498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0417471545647899	0.04170075395824	0.04179237939136	0.00137145145750639	0.00129985531928067	0.00159045710815298	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1
AMPD1	1184	0.302225300474402	0.305637494800581	0.298192850221546	0.0778268395210424	0.0778264631038804	0.0778272159380898	0.18288798213212	0.188177098856848	0.17913441261603	0.388657544146076	0.384518186135243	0.393130855338478	0.270339229722384	0.274583025173746	0.26583449018987	0.424928878662955	0.422857790333458	0.427550040810636	0.000217468263082776	0	0.000428839019154137	0.133633873481474	0.138546227077062	0.118477793516411	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2
APOB	4411	0.500454963775	0.511421367744	0.487405574151	0.275312146204	0.282084404599	0.271134842304	0.4490649375	0.432668670204	0.460497997936	0.455342715919	0.455645257584	0.455012037711	0.353497165084	0.353241450631	0.353768906775	0.3821253975	0.383440544631	0.3804578479	0.924425591536	0.92519775	0.923671571824	0.752801109519	0.740285417116	0.789180359199	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
APOE	655	0.962141984682893	0.960324435844693	0.964205690042773	0.99649530966844	0.99599239934567	0.996791707227957	0.886460035524072	0.892342934026694	0.881949389878139	0.987670258946638	0.987608172339858	0.987696583829282	0.955744161849574	0.956030372611128	0.95543326239714	0.975193491617486	0.97526964267019	0.97509827208399	0.921344618010332	0.92226173404482	0.920368581562021	0.898878450920993	0.901705607427874	0.889557942808635	2	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15
